,Price,Address,City,bed,bath,SQFT
82,"$1,073,348",7116VicenzaDR,AustinTX78739,4,4,"4,485sq.ft"
83,"$1,070,000",12216LostwoodCIR,AustinTX78748,2,2,"3,345sq.ft"
84,"$1,065,000",313W17thST2101,AustinTX78701,2,2,"1,251sq.ft"
85,"$1,060,359",7301VicenzaDR,AustinTX78739,3,3,"3,640sq.ft"
86,"$1,050,000",6317GatoPATH,AustinTX78731,2,2,"2,562sq.ft"
87,"$1,050,000",1505ChipmunkRD,AustinTX78734,,,
88,"$1,050,000",3115ClawsonRD502,AustinTX78704,2,2,"1,932sq.ft"
89,"$1,050,000",612W33rdST,AustinTX78705,3,3,"2,316sq.ft"
90,"$1,050,000",8321LaPlataLOOP,AustinTX78737,3,3,"2,831sq.ft"
91,"$1,050,000",208AgaveBloomCV,AustinTX78738,4,4,"3,408sq.ft"
92,"$1,050,000",11509CoalwoodLn,AustinTX78739,3,3,"4,078sq.ft"
93,"$1,040,000",44EastAve1305,AustinTX78701,2,2,"1,232sq.ft"
94,"$1,032,281",7120VicenzaDR,AustinTX78739,4,4,"3,916sq.ft"
95,"$1,031,249",44EastAve1201,AustinTX78701,2,2,"1,293sq.ft"
96,"$1,000,000",12700RiverBND,AustinTX78732,,,
97,"$999,999",104CanyonRimDR,AustinTX78746,3,3,"3,177sq.ft"
98,"$999,990",3009MidwoodLN,RoundRockTX78681,4,4,"4,640sq.ft"
99,"$999,000",104E46thST,AustinTX78751,2,2,"1,666sq.ft"
100,"$890,000",820HiddenGlenDR,RoundRockTX78681,3,3,"3,860sq.ft"
101,"$885,000",10810SierraNevada,AustinTX78759,2,2,"2,398sq.ft"
102,"$880,000",1005RuthAve,AustinTX78757,2,2,"2,100sq.ft"
103,"$879,000",13406GalleriaCIR,AustinTX78738,3,3,"2,416sq.ft"
104,"$878,772",4315AttraST,AustinTX78723,2,2,"2,191sq.ft"
105,"$875,000",300BowieST607,AustinTX78703,2,2,983sq.ft
106,"$875,000",8315HathawayDRA,AustinTX78757,3,3,"2,003sq.ft"
107,"$875,000",5409BENNETTAve,AustinTX78751,4,4,"2,200sq.ft"
108,"$875,000",2902PearlST,AustinTX78705,2,2,"2,213sq.ft"
109,"$875,000",6401YauponDR,AustinTX78759,2,2,"2,306sq.ft"
110,"$875,000",10615SpicewoodPKWY,AustinTX78750,2,2,"2,527sq.ft"
111,"$875,000",3900DominionCV,AustinTX78759,3,3,"2,771sq.ft"
112,"$875,000",5702BarkerRidgeDR,AustinTX78759,4,4,"3,255sq.ft"
113,"$875,000",15412SpillmanRanchLOOP,AustinTX78738,3,3,"3,335sq.ft"
114,"$875,000",9540GracelandTRL,AustinTX78717,4,4,"3,439sq.ft"
115,"$875,000",12919NoyesLN,AustinTX78732,3,3,"3,475sq.ft"
116,"$875,000",276ClearPondCV,AustinTX78737,3,3,"3,650sq.ft"
117,"$875,000",1720WestEndPL,RoundRockTX78681,4,4,"3,902sq.ft"
118,"$874,995",11831MesaVerdeDR,AustinTX78737,3,3,"3,061sq.ft"
119,"$870,000",48EastAve1909,AustinTX78701,2,2,982sq.ft
120,"$795,000",11100ChateauHill,AustinTX78750,2,2,"2,511sq.ft"
121,"$795,000",6507NortheastDR,AustinTX78723,2,2,"2,894sq.ft"
122,"$790,000",10212ShivelyLN,AustinTX78747,3,3,"3,800sq.ft"
123,"$789,000",2500RioMesaDR,AustinTX78732,3,3,"3,248sq.ft"
124,"$789,000",9808NandinaCV,AustinTX78726,3,3,"3,513sq.ft"
125,"$785,900",5908OsceolaTRL,AustinTX78738,4,4,"4,199sq.ft"
126,"$785,000",5516LinkAve,AustinTX78751,3,3,"1,800sq.ft"
127,"$785,000",3117E51stST4,AustinTX78723,2,2,"1,900sq.ft"
128,"$785,000",4802WestWindTRL,AustinTX78745,,,"2,912sq.ft"
129,"$782,900",6112AntelopeWellLN,AustinTX78738,4,4,"4,199sq.ft"
130,"$780,000",10715SignalHillRD,AustinTX78737,3,3,"1,920sq.ft"
131,"$780,000",701NaplesLN,AustinTX78737,3,3,"3,860sq.ft"
132,"$779,000",111TallstarDR,LakewayTX78734,2,2,"2,275sq.ft"
133,"$779,000",2501WSlaughterLN,AustinTX78748,,,"3,752sq.ft"
134,"$777,900",5825AntelopeWellLN,AustinTX78738,3,3,"3,435sq.ft"
135,"$775,000",3103WhitewayDR,AustinTX78757,2,2,"1,730sq.ft"
136,"$775,000",11100ReadvillLN,AustinTX78739,2,2,"2,294sq.ft"
137,"$775,000",11501CitrusCV,AustinTX78750,2,2,"2,298sq.ft"
138,"$775,000",10221CamaValleyCV,AustinTX78739,2,2,"2,385sq.ft"
139,"$775,000",15206KevinLN,AustinTX78734,3,3,"2,955sq.ft"
140,"$700,000",5011WindingTRL,AustinTX78745,2,2,"2,342sq.ft"
141,"$700,000",410WSaintJohnsAve,AustinTX78752,1,1,792sq.ft
142,"$700,000",8104PampasCV,AustinTX78750,2,2,"2,188sq.ft"
143,"$700,000",3933TavarezST,RoundRockTX78681,2,2,"2,271sq.ft"
