,Price,Address,City,bed,bath,SQFT
342,"$170,000",601NelrayBLVD8,AustinTX78751,1,1,390sq.ft
343,"$165,000",1015EYagerLN160,AustinTX78753,1,1,565sq.ft
344,"$150,000",4209ImperialDR,AustinTX78725,,,
345,"$135,000",4204KingsCT,AustinTX78725,,,
346,"$125,000",2701BurlesonRDB,AustinTX78741,,,
347,"$105,000",14506HuntersPASS,AustinTX78734,,,
348,"$105,000",14502HuntersPASS,AustinTX78734,,,
349,"$95,000",4102LowerDR,AustinTX78725,,,
350,"$95,000",3802LowerDR,AustinTX78725,,,
351,"$95,000",2502DouglasST,AustinTX78741,,,
352,"$80,000",4808BrookCreekCV,AustinTX78744,,,
